,vacancy,salary,min_salary,max_salary,cur_salary,link,site
127,Data scientist (ML модели корпоративного бизнеса),,н/у,н/у,н/у,https://spb.hh.ru/vacancy/35745166?query=Data%20scientist,HH
128,Senior Data scientist (ML модели корпоративного бизнеса),,н/у,н/у,н/у,https://spb.hh.ru/vacancy/36281690?query=Data%20scientist,HH
129,Аналитик данных (Data Analyst/Data Scientist),,н/у,н/у,н/у,https://spb.hh.ru/vacancy/37053753?query=Data%20scientist,HH
130,Senior Data Scientist,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/37036204?query=Data%20scientist,HH
131,Data Scientist in Oil & Gas,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/36735147?query=Data%20scientist,HH
132,Data Scientist (Computer Vision),,н/у,н/у,н/у,https://spb.hh.ru/vacancy/37030777?query=Data%20scientist,HH
133,Applied Data Scientist – Client Service Operations,от 220 000 руб.,от 220 000 руб.,н/у,н/у,https://spb.hh.ru/vacancy/37036116?query=Data%20scientist,HH
134,Data Scientist в Delivery Club,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/35961204?query=Data%20scientist,HH
135,Senior Data Scientist,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/35966230?query=Data%20scientist,HH
136,"Data Scientist (NLP, Graph)",,н/у,н/у,н/у,https://spb.hh.ru/vacancy/36995580?query=Data%20scientist,HH
137,Senior Python Systems Engineer,200 000-280 000 руб.,200 000,280 000 руб.,н/у,https://spb.hh.ru/vacancy/37095658?query=Data%20scientist,HH
138,Lead Data scientist,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/36657251?query=Data%20scientist,HH
139,Data scientist,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/36966964?query=Data%20scientist,HH
140,Data Scientist (family office),,н/у,н/у,н/у,https://spb.hh.ru/vacancy/36697301?query=Data%20scientist,HH
141,"Data Scientist, Дивизион 'Особенные решения'",,н/у,н/у,н/у,https://spb.hh.ru/vacancy/36970738?query=Data%20scientist,HH
142,Data Scientist (Big Data),,н/у,н/у,н/у,https://spb.hh.ru/vacancy/36982968?query=Data%20scientist,HH
143,Team-Lead/Senior data scientist,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/36694503?query=Data%20scientist,HH
144,Продуктовый и маркетинговый аналитик,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/37008699?query=Data%20scientist,HH
145,Technical Director of SaaS product,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/37011667?query=Data%20scientist,HH
146,Team Lead data scientist (коммерческое направление),,н/у,н/у,н/у,https://spb.hh.ru/vacancy/36691192?query=Data%20scientist,HH
